[description:"install and follow intheam instruction https:\/\/github.com\/coddingtonbear\/taskwarrior-inthe.am" end:"1634991100" entry:"1634990565" modified:"1634991100" status:"completed" tags:"app,todo" tags_app:"x" tags_todo:"x" uuid:"3fc52b36-1ef5-475e-98f8-07872556db2b"]
[description:"apply update in this manjaro box" end:"1634989142" entry:"1634988244" modified:"1634989142" status:"completed" tags:"linux,update" tags_linux:"x" tags_update:"x" uuid:"8a71d426-1a49-4bea-bbfc-38e451c1c0ea"]
[description:"install task cli todo manager in manjaro box" end:"1634989142" entry:"1634988296" modified:"1634989142" status:"completed" tags:"linux,manjaro" tags_linux:"x" tags_manjaro:"x" uuid:"5c1f8701-1273-4ddf-bb8e-2e173d1f8035"]
